"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"WHAM-m1",0,5749.1,0.8852,0.2873,-0.2407
"WHAM-m3",123.1,5872.2,0.4002,0.2089,-0.2029
"WHAM-m2",354.9,6104,0.7907,0.283,-0.2396
